s3_path,logos,texts
s3://olm-pics-s3/112/N9MoEzGeOpw2KSHqTbyVmkvKix5TJsILSsyVpK4j.jpeg,,"ARINGap, small, part, poses, HAZARD, particularly, children, Please, Recycle, tre, Air, Bottle, Bottle, locks, feels, different, fore, ether, purposely, designed, ed, using, less, plastic, versus, parable, se, leading, beverage, bands, Race, Tr, Purified, FL, OZ"
s3://olm-pics-s3/112/OPk5OY57LbIIy7FGqEPcfeVpDgu18n3acFnXKQ1n.jpeg,,
s3://olm-pics-s3/112/OdmYat7HxG8XdA7IWNy1mJECDJmmOjKGph0o2OkO.jpeg,,"ater, NAME, HHCT, CA, CRV"
s3://olm-pics-s3/112/OfYnH7h1nmQ7HPVMKhLMn6sc7JVf5kADTFT0WFvR.jpeg,,"ORS, Nutrition, Facts, CONTAINS, FRUIT, JUICE, Serving, Size, Bo, Calories, Amount, unt, Per, Serving, Sodium, mg, Total, Fat, Daily, Value, Potassium, mg, Total, Carb, Nuts, significan, Protein, Sugars, epi, Glet, ENCHER, rosin, natural, flavor, yellow, phosphate, gum, arabic, glycerol, ester, sodium, citrate, monopotassium, Water, sugar, dextrose, citric, acid, sa, DESIGN, registered, trademarks, VC, Inc, Comments, visit, DIST, GATORADE, CO, PO, BOX, CHICAGO, IL, VC, Inc, GATORADE, REFRIGERATE, OPENING, PARTIALLY, PRODUCED, GENETIC, ENGINEERING, gatorade, com, DIST, GATORADE, CO, PO, BOX, CHICAGO, IL, VC, GATORAD, DESIGN, registered, trademarks, VC, Inc, Comments, REFRIGERATE, OPENING, PARTIALLY, PRODUCED, GENETIC, ENGINEERING, Gatorade, com"
s3://olm-pics-s3/112/OvKb6fcJck1BJhFw6m8DryvVKAPaWROaBIwUTRpa.jpeg,,
s3://olm-pics-s3/112/Pftq4550WzgZA5euhgIEsLHGs63tXSHAqCP07WKl.jpeg,,"ATE, BU, Play, beny, MATION, CALL, TEXT, SANDRA, AL, SAY, CA"
s3://olm-pics-s3/112/PgxtdqRuHDALGohDz74LbOZcc3i1IXkyDmyQ3lQ7.jpeg,"Niagara Bottling, Niagara Bottling","ECO, AIR, BOTTLE, RECYCLABLE, niacar, PURIFIED, DRINKING"
s3://olm-pics-s3/112/QHxahX6K32Dq0krNWV07WKBx1UEaMDiL2AMSk37y.jpeg,,
s3://olm-pics-s3/112/R1gyl6HQkZKQRbdbu1aciGfqzEmCoiNMKKuK0BBC.jpeg,Burger King,"DIEL, LE, OTHEB, KING, BAKCEL"
s3://olm-pics-s3/112/RBav9hIgbO6jErIIdGanAFBs0ZuV6GPqFqkwMZLN.jpeg,,"Texas, Made, Ozarkaz, NATURAL, SPRING, WATER"
s3://olm-pics-s3/112/SWm0Mn8PsgDMBKGfXYDcf6tnX8MRk7RG0SfVEFAW.jpeg,,"TROUDLY, AMERICAN, FAMILY, OWNED, SINCE"
s3://olm-pics-s3/112/TygT8DTC9yss8NIkdNLnxPLG4lUgpBBOYCxWWTGQ.jpeg,,"ANVAWG, AGHYS, AVATA, ER, BLE, SUPER, BUBBLE, DISTRIBUTED, FERRARA, CANDY, COM, OAKBROOK, TERRAC, www, ferrarause, co, COMPANY, COMPANY, FERRA, SUPER, BUBBL, OMPANY, DISTRIBUTED, FERRARA, CAND, DAKBROOK, TE, www, ferrarau, FERR, CANDPANY, DIST, OPER, LUBBE, DISTRIBOY, COMPANY, FEIRARRACE, IL, OAKBRO, com, www, fo, WABA"
s3://olm-pics-s3/112/UFGS3HAJYYpymP5QmRWjz4nj4p6KEXKs3qKbbnUc.jpeg,,PACK
s3://olm-pics-s3/112/UQRGpvuPfh1WRZiCOTkaFoDoI6UMuinfrHbfgirh.jpeg,Honest Tea,"Drink, Box, Facts, BEST, USED, Honest, KIDS, SHEETENED, FRUIT, JUICE, bo, alway, Daily, Value, ydrate, ce, calories, stat, cholesterol, calcium, iron, ed, calorie, Get, WATER, ORGANIC, ENTRATE, NATURAL, ORBIC, ACID, CITRIC, ACID, USA, Appley, ver, ORGANICJUICE, DRINK, USDA, ONCENTRAT, ORGANIC, FL, mL, CALORIES, PER, BOX, GMOs, bioeng, ingred"
s3://olm-pics-s3/112/UZFyihIXAIdqHtKZO4SAP2u5zcjBY19qiXQVJ0Lr.jpeg,,"WH, NEVER"
s3://olm-pics-s3/112/UqnYGKOFguXnc4XSmdPW2RwWvinAFdENaOhDDB2C.jpeg,,
s3://olm-pics-s3/112/UtglvHKcc0ek1pF0a2Ux8OjzXeb8Rt0WBoLYEPTK.jpeg,Niagara Bottling,"ECO, AIR, BOTTLE, RECYCLABLE, niagara, EST, PURIFIED, ONKING, WATER, oz, mL, PT"
s3://olm-pics-s3/112/WYWu6jRJ8ercBs4PHtXv1JrotFd8Vkhpoyppvnug.jpeg,,
s3://olm-pics-s3/112/XAsVB8HDge2Wa3VCQcQDWYeJEllEvg3nvxtYqSJc.jpeg,Planters,"DRINKING, WATER, ara, PLANTERS, HONEY, ROASTED, peanuts, NET, WT, OZ"
s3://olm-pics-s3/112/XIoIwOfSVDxe46R3QmsicuSBDwg9EeSYBne8N8ZC.jpeg,,"packet, FRESH, Quic, Easy, SCONIS, Toilet, Deodorizers, JAFINA, AQUA, Superior, Odor, Control, Casting, Blue, Color, Go, Convenience, Ming, Waste, Mess, QuickSc, Packets, Odor, Cont, Guarante, nts, WATER, ENDOA, TAMIROFE"
s3://olm-pics-s3/112/XUTP9STACuToSCwQCuW89Ma6eQGhW7guiEKQeTTq.jpeg,,"ble, Glas, Clean, glass, jars, metal, fick, metal, cans, aluminum, steel, cans, nd, sarecycles, org, facebook, clicweste, twitter, co, DICAR, LUE, ORS, ED, FINE, PONGA, PA, ALES, EN, EL, CONTENEDOR, AZUL, SE, LE, CARGARA, UNA, MULTA, DE, STORYS, QUE, PRICE, ubber, Bacing, Multi, Purpose, Skid, Backing, Stain, Resistant, indoor, outdoor, doormat, inches, cm, cm, ENGA, DOSOP, artons, CITY, SAN, ANTO, Plani, black, tags"
s3://olm-pics-s3/112/XtQZ6cmadWQcnP7NylrlNDJoiWE6hawJfKRU62FC.jpeg,Budweiser,"TEXAN, BREWED, INC, HT, TEXAN, TEXAN, BREWED, RED, USING, BARLEY, MALT, SER, BUSCH, TEXAN, BRE, BUD, FINE, PU, GIT, JD, BURST, RANGE"
s3://olm-pics-s3/112/YNrRdzImNvA1rHYexLBoPCNw82HBhHEGCIkXMmxu.jpeg,,"CH, HIGH, GRAVITY, STEEL, RESERVE"
s3://olm-pics-s3/112/YrOvZUmj9vf1mk1HaMilxHHUwhYdKadYdgVefWGc.jpeg,"Niagara Bottling, Niagara Bottling","hiagara, DRINKING, Nestle, Pure, Life, agara"
s3://olm-pics-s3/112/Z3bAiPIQmMlmIUcZhwc0rapxIj2CIgYWk7G1OtRZ.jpeg,The Laughing Cow,"Bill, EST, ORL, NOAPT, ABOU, POOT, BAD, WIN, CASH, CHANCE, REVIOUS, WINNERS, Olgames, en, espatl, hut, com, RECU, ENTER, AB, hutr, REWAR"
s3://olm-pics-s3/112/Zz23xSrLzoNZs6gS64ZL3CAeHqWuGkpSd6gUaXNA.jpeg,,
s3://olm-pics-s3/112/b9KOqrJeUFf4vR7KSc58lLWYKgjk7pOuzIcUjeNI.jpeg,,
s3://olm-pics-s3/112/bjRG0uFiWJK8NB23VKbFMZ1V3CH5avaJl2QujUW8.jpeg,,"NG, GO, TEXAN, INGREDIENTS, PURIFIED, WATER, LCIUM, CHLORIDE, SODIUM, BICARBONATE, DISTRIBUTED, HEB, SAN, AONIO, TX, BOTTLED, USA, PROCESSED, REVERSE, OSMAS, INDIVIDUAL, SALE, INGREDIENT, BICARBON, SUPERMER, PTE, PRODICTO, SA, hop, ETIQUETADO, PARA, SU, VENTA, INDIVIDUAL, PLEASE, RECYCLE"
s3://olm-pics-s3/112/c4CQsQJp0yFmoZmGF9FYfqErXWcCQVAi9qFDEP0Y.jpeg,,
s3://olm-pics-s3/112/crv1yjWlZ02JEhFiS2IzJx7j15KtM6eBz6XEhZRM.jpeg,The Gatorade Company,"GAT, RO"
s3://olm-pics-s3/112/dNfjIUj5NkyEyoyXoQCZRxx0ivhnUsBndM8Ao0ga.jpeg,,"LENON, LIME, SODA, NATURAL, FLAVORS, CAFFEINE, Sprite"
s3://olm-pics-s3/112/dhs0DfFNGdu3PTUg0ramMYURBJY7BSb2WO76yZDi.jpeg,"Bang, Bang, The Coca-Cola Company","ORIGINAL, TASTE, Coca, Cola, FL, PT, ml, ang, POTENT, BRUIN, BODY, FUEL, BLAZE, ROOT, BEER"
s3://olm-pics-s3/112/egA2sP4kFBmdE17Lw1CfMfAychExhYv03oneoAce.jpeg,,"produced, os, refreshing, ed, lager, drinkability, BUD, LIGHT, LAGER, BEER, BREWED, CHOICEST, RICE, CH, INC"
s3://olm-pics-s3/112/ekPqgm24xfh52b91P2ZaJEiRRYc3kpcJ5vRm0t5a.jpeg,"Snapple, Snapple","PCE, NATURAL, Snapple, JUICE, YE, copy, juicy, desmal, brand, New, fur, would, always, Apple, might, en, und, syng, Fulged, New, Yorker, hey, SNAPRE, JUICE, DRINK, CONT, Concentrate, Nutr, APPLE, Flavored, Serving, Natural, Ravors, Snapple, APPLE, JE, JUICE, CA, CRVE, PLEASE, RECYCLE, Call, us, blend, apple, par, juices, EYE, BEST, Stuff, EARTH, FL, OZ, QT, mL, CALORIES, PER, FL, OZ, SERVING, Serving, Amoun, Calorie, Total, roteir, FILTERED, VEGETABL, COLCAN, SNAPPLE, ORME, PL, EVERAGE, LEAND, PEA, THA, KPORTY, Thems, BOLD, BL, PREM, LAGER"
s3://olm-pics-s3/112/fuASiY1KG4uvmkg4Hhmfhc855Atw5a91ONzXIDsw.jpeg,,"famous, Budweiser, brewer, cash, exclusive, Beechwood, Aging, drinkability, falt, ORLD, AB, DIL, COLA"
s3://olm-pics-s3/112/gIaBclbddq0GN5sr9AxAQqZNkqwAf7sAe0R5IBTg.jpeg,"Brisk, H-E-B, Nestlé","EMONADE, Brisk, ate, astura, Astural, rified, Water, Nestle, Pure, Li, rancher, Amor, Hare, Everything, Better, COLA, Original, Est, HED, Gomise"
s3://olm-pics-s3/112/gkeurSUNA3cMc8GcYgfmsmzmOVgUeX3Nepwc9fDA.jpeg,,
s3://olm-pics-s3/112/iVqVKId4ybqnuXwdJZq2hpmeY9yPIkRZajla0JsD.jpeg,,
s3://olm-pics-s3/112/iuGPo7XDeBc9YAVP6FmBtjXW75nMpoMKZlY3Hoyg.jpeg,,"cade, DRATE, US, ONIS, ANEH, CA, CRV, QUENCHER, FRUIT, FUNCH, QUE, FRUPU"
s3://olm-pics-s3/112/j1HbgPmpches6247SAGOczP8sVplyFpBuGDmXZev.jpeg,,
s3://olm-pics-s3/112/liZ27FK2GooO90Lu5LXDfE6rWiG0CBW8B7Dp4NUh.jpeg,,"Asential, life, STATUS, CE, ECO, AIR, BOTTLE, CYCLARA"
s3://olm-pics-s3/112/m20N59uFdCW5imcXN14wzw3UQPvoYJ7waFeO3mvE.jpeg,"Dasani, Anheuser-Busch, Heineken, Heineken","Acceptable, Recyclable, Materials, Plastic, Bottles, Clean, plastic, bottles, Glass, Jars, Cleanral, licts, removed, jars, bottle, metal, Cans, Clean, aluminum, steel, cans, newsp, Paper, Clean, fastland, office, paper, magazines, spaper, Cardboard, Hattoned, Cardboard, boxes, dry, goods, boxos, Giners, removed, Drink, Cartons, Paper, milk, juice, cajons, SAM, YAMNAGEMENT, Plastic, Bags, Dawn, receipts, Slear, aty, bunned, panic, th, te, black, bags, bays, per, bundl, sanantonio, gov, swmd, sarecycles, org, facebook, com, sasolldwa, ORIGINAL, RECIPE, BREWED, HO, HOLLAND, Heineke, FLOZ, LAGER, BEER, ALCNOL, PREMIUM, QUALI, waste, PARTA, APERS, CARTA, RS, FINE, BUSCH, BEER, BREWED, ONGA, PA, ALES, CONTENEDOR, AZUL, SE, LE, CARGARA, NA, MULTA, DE, FL, OZ, SINCE, AW, ROOT, BEER, MADI, PURIFIED, WATER, CED, MINERALS, DASAN, FL, OZ, PT, CENTENGA, PA, SHREADA, KEEP, LID, CLOSED, CARDER, LE, MOUVERCLE, PERLE"
s3://olm-pics-s3/112/mTKCXfhuO2cuJUKAYO3I8WDF1aR8UvUeaVOnxv7R.jpeg,,
s3://olm-pics-s3/112/mi6LG9sIcKsA5jzGPIH1Xa0gfP2UTGPrF8Jzat9P.jpeg,,REFRES
s3://olm-pics-s3/112/msHYXV2f2EX1ptfoiai4NFwHdDBYh29VHCSQEIKH.jpeg,,"Ozarka, Born, SOURCES, Nature, SPRING, WOOD, OFFIT, SPRING, VOR, ROHER, TEXAS, MERICA, INC, Made, Texas, WATER, QUALITY, REPORT, GR, OZARKAWATER, COM, SINCE, Ozarkaz, NATURAL, SPRING, WATER, FL, OZ, mL, BOTTLE, RECYCLABLE, EXCLUDES, LABEL, CAP"
s3://olm-pics-s3/112/nRiEmIZwMvJ372OWhLRxJ0KBd2wTqAXbnntZa9W3.jpeg,,"FLU, OUNCER, Budwe, Clamato, CON, SAL, LIMON, Chelada, na, erry, BUSCH, BEER, BREWED, OZ, ml, NATURAL, BIG, DRINK, Budweiser"
s3://olm-pics-s3/112/nWWmWqdKVR6T69JKjDi5XyKre6maewDIkmrWcZvf.jpeg,,"Fishi, bring, ARED, MINERALS, BETTER, TASTE, COUNTRY, FARE, PURIFIED, DRINKING, WATER"
s3://olm-pics-s3/112/oub7F31Me3K5LW2fpNtazhjKWvl5F4uEBy1Jv5Az.jpeg,Niagara Bottling,"agara, EST, DRINKING, WATER, la, RICAN, OWNED, SINCE, kist, GE, CA, CRV, OCT"
s3://olm-pics-s3/112/pNEycYQUqFCs2WXVLSZOOX0lUzUC3d7ut9MqC66R.jpeg,,"TED, STATES, PO, Ber, Salt, Lane, Cin, UT, ELECTRONIC, Postal, Custom, SleeDY, HU, San, Antonio, Mutions, beople, know, ing, mailbox, arrives, od, Delivery, leyou"
s3://olm-pics-s3/112/pUY1im8pNbPUAceAv17T5SCvmwK8KIAmVatpCN2o.jpeg,Niagara Bottling,"EST, Bottled, Niagara, Bottling, LLC, Ontario, CA, report, water, quality, contact, us, PURE, www, niogarawater, com, DRINKING, WATER, Purified, Reverse, Osmosis, fl, oz, mL, PT, CHOKING, HAZARD, particulary, WARNING, Cap, small, part"
s3://olm-pics-s3/112/r7dKIEKbLZJ4wu8a0KEtr5FhsOxMgLEtOVu51LPm.jpeg,Crayola LLC,"store, Tarket"
s3://olm-pics-s3/112/rcL9u5PGtDPdl4kbEgfj9PYj4xj1PMqHmUyZvQHI.jpeg,Grupo Modelo,"IMPORTED, BEER, CERVEZA, Modelo, CERV, RVEC, CERIA, MEXICO, ial, flavored, pilsner, style, ith, dean, crisp, Anth, BREWED, MEXICO"
s3://olm-pics-s3/112/rqADGejOFvu9EakO3Kl4K0CdFoqOqbHvhJX9qmJc.jpeg,,"added, aste, dwter, NAME, Distributed, Cosice, Wholesale, Corp, PO, Box, Seattle, WA, USA, www, costco, com, INGREDIENTS, Purified, Water, Potassium, Bicarberats, Sodium, Bicarbonate, Calcium, Citrate, Sodium, Chloride, Magnesium, Oxide, NV, HI, CT, CA, CRV, Saner, Cap, Less, Plastic, notice, bede, slim, cap, reduced, amount, plastic, cap, part, ongoing, efforts, reduce, impact, environment, Cap, ring, may, pone, chok"
s3://olm-pics-s3/112/sYUU4ADR3JTSK7OiqQufkCWGcQh94ckLBc3DMly8.jpeg,Heineken,"BEARS, Step, ep, Quality, Process, cur, water, deliver, Learn, Good, ked, sea, Taste, TWISTED, TE, HARD, ICED, TEA, ORIGINAL, ken, Jue, Iced, Tea, Talle, BS, REPRINTER, CRS, SEWERAGES, PLIS, ABILITY, OFFPALE, ANISTO, SVE, CAR, ND, MAY, CAUSE, HEALTH, PROBLE, BUS, BREWED, BEE, ORKIN, PLASTIC, BOTTLE"
s3://olm-pics-s3/112/saEMoWylijkt0l4htWuC2J8yuagd72Tda3x9482R.jpeg,Cheetos,"MADE, REAL, CHEESE, Cheetos, Crunchy, BRAND, ARANTEED, FRESH, PRINTED, DATE, MAY, CHEESE, FLAVORED, SNACKS, formation, Total, Fat, Content, FT, WT, See"
s3://olm-pics-s3/112/tFoQ1u0nCdTNLGPppX2GS9L7Aaty4nkI5NDO4HC0.jpeg,"McCafé, Oreo","Acce, Plastic, Clean, plastic, Recyclable, materials, Metal, Cans, Clean, aluminum, steel, cans, Paper, Clean, fastfood, bags, magazines, oper, Cardboard, Flattened, cardboard, boxes, goods, boxes, Viners, Cero, dry, Drink, Cartons, Paper, milk, juke, caLTONS, CITY, SAN, ANTONIO, SOLID, WASTE, MANAGEMENT, DEPARTMENT, Plastic, Bags, Clean, dry, bundled, plastic, bags, paper, receipts, whide, black, bags, bags, per, bundle, THA, El, twitter, com, sas, NICE, ORPRTICIPATIN, FFOCATION, KE, BAG, CRIBS, BEDS, FOOD, STOR, LEND, CAFUT, HOPI, oboanald, Poron, labed, PAN, DE, McCafe, ORED, mini, PER, PACK, CALORIES, SAT, PAI, CLOSE, GARDER, LE, COUVERCLE, PARLE, NET, WT, CHOCOLATE, SANDWICH, COOKIES"
s3://olm-pics-s3/112/tWbYgfhCTTBK5WpHkTmfKKzZmVgrd8IWPLHL7tcF.jpeg,Dr Pepper,"Peppe, Nutrition, Facts, Size, Bottle, unt, Per, Serving, Calories, Total, Fat, SOUND, Loys, Daily, Value, Total, Carydrate, Sugars, Frotein, EES, PEPSI, LIPTON, CYCLE, PLEASE, RECY, LEMON, flavor, natural, flavors, REAL, BREWED, TEA, PURE, LEAF, licant, souve, CMC, Ta, liber, smin, calcium, Percent, Daily, Values, Based, ong, catorie, diot, BREED, FEA, SUSAR, CURIC, ACI, FLAVOR, CITRUS, PECTIN, APPLINE, CONTENT, SES, COMMENTS, HEART, REP, PACKASS, CALL, REFRIGERATE, OPENING, PARTIALE, PRODUCED, GENETIC, ENGINEERING, MEHI, SCCA, CRV, BREWED, REAL, LEAVES, NEVER, TROMPOWDER, ARTHICIAL, SWEETENERS, CALORIES, PER, BOTTLE, FL, OZ, PT, mL"
s3://olm-pics-s3/112/tnuFhNoSK7jPfg7jvAJK4b0RQM8m8Rw4P3kOUKqV.jpeg,"The Coca-Cola Company, The Coca-Cola Company","Dier, Coke, CALORIES, SUGAR, Loke"
s3://olm-pics-s3/112/u3sU1OqlM4yaGCSw1zTmdOcC2Vz6pDr3dVlY2F93.jpeg,KFC,"trademarks, PepsiCo, Inc, customers, learn, KFC, Corporation, packaging, KFCC, GIN, ENTION, AVY, ders, KFC, COND, DA, Waens, HWAY, MILKY, DAGATOR, ards, Swe, ENS, COM, visit, short, WAL, ntest"
s3://olm-pics-s3/112/v6qeDlFxDFc3mqh2JTEQzJb1iaUv3okoWftbL7xm.jpeg,Dr Pepper,"castel, USA, spoons, ste, Pepper, Est, FOOTBALL, PLAYOFF, THIRST"
s3://olm-pics-s3/112/w1w8MANPf3WBLnLELOBsnHRkWJUYQLZZewEcfVkm.jpeg,"The Gatorade Company, The Gatorade Company",CRAFTSMAN
s3://olm-pics-s3/112/wwZvfX6eEYB91Pf5Qr19PhZlAjDCP6havlz48YWv.jpeg,,
s3://olm-pics-s3/112/xEHONgVDyXUYit38Tud2RKTHkIBhlv0VhRR9BIzU.jpeg,,
s3://olm-pics-s3/112/y2w3T68P6egOQkoNTQCVTS4LWUxUcJKcSw5IYEMn.jpeg,,"TEXAN, LIG, ALWAYS, BREWED, HOPS, BEST, BARU, ANHEUSER"
s3://olm-pics-s3/112/yIaOvvfYlWd0GCLNclliFEBF6dCH5YUZ6CHvTqic.jpeg,,
s3://olm-pics-s3/112/yV0xQO7gXD4R6sq21PMrYNZafRhKRGSEEStQ2Oug.jpeg,,"TOODABAD, FO, ACCU, CHEK, Softclix, lancets, used, ACCU, CHEK, Softclix, ACCU, CHEK, Softclix, Plus, lancet, devices, Please"
s3://olm-pics-s3/112/zBIRtlw6Lmp1P8zF71e2U7a0EM1NLoNamUO67Bd8.jpeg,Dr Pepper,"castel, spoons, ste, Pepper, FOOTBALL, PLAYOFF"
